Site,Date,Filename,n_calls,prob1,sp1,prob2,sp2,prob3,sp3,mean_temp,mean_hum,mean_wind,min_temp,min_hum,min_wind,max_temp,max_hum,max_wind
Peace_Whitemud3_filteredb,20190713,20191805__20190713_233120.00#.zc,10,0.2928,noise,0.1404,MYLU,0.1192,LACI,10.116666666667,95.500000000000,2.166666666667,8.700000000000,92.000000000000,0E-12,11.600000000000,97.000000000000,4.000000000000
Peace_Whitemud3_filteredb,20190713,20191805__20190714_040816.00#.zc,20,0.3968,EPFU,0.2687,LACI,0.1755,LANO,10.116666666667,95.500000000000,2.166666666667,8.700000000000,92.000000000000,0E-12,11.600000000000,97.000000000000,4.000000000000
Peace_Whitemud3_filteredb,20190713,20191805__20190714_023439.00#.zc,14,0.494571428571429,noise,0.191142857142857,LACI,0.140285714285714,LANO,10.116666666667,95.500000000000,2.166666666667,8.700000000000,92.000000000000,0E-12,11.600000000000,97.000000000000,4.000000000000
Peace_Whitemud3_filteredb,20190713,20191805__20190714_033200.00#.zc,6,0.41,EPFU,0.295,LANO,0.145333333333333,noise,10.116666666667,95.500000000000,2.166666666667,8.700000000000,92.000000000000,0E-12,11.600000000000,97.000000000000,4.000000000000
Peace_Whitemud3_filteredb,20190713,20191805__20190714_023253.00#.zc,17,0.330117647058824,EPFU,0.239764705882353,noise,0.233294117647059,LANO,10.116666666667,95.500000000000,2.166666666667,8.700000000000,92.000000000000,0E-12,11.600000000000,97.000000000000,4.000000000000
Peace_Whitemud3_filteredb,20190713,20191805__20190714_004518.00#.zc,9,0.207111111111111,MYLU,0.184444444444444,noise,0.14,MYVO,10.116666666667,95.500000000000,2.166666666667,8.700000000000,92.000000000000,0E-12,11.600000000000,97.000000000000,4.000000000000
Peace_Whitemud3_filteredb,20190713,20191805__20190714_041235.00#.zc,7,0.448857142857143,noise,0.232857142857143,EPFU,0.183142857142857,LANO,10.116666666667,95.500000000000,2.166666666667,8.700000000000,92.000000000000,0E-12,11.600000000000,97.000000000000,4.000000000000
Peace_Whitemud3_filteredb,20190713,20191805__20190713_232935.00#.zc,23,0.244347826086957,MYLU,0.146521739130435,noise,0.129217391304348,MYVO,10.116666666667,95.500000000000,2.166666666667,8.700000000000,92.000000000000,0E-12,11.600000000000,97.000000000000,4.000000000000
Peace_Whitemud3_filteredb,20190713,20191805__20190714_003618.00#.zc,15,0.223066666666667,MYLU,0.1664,MYVO,0.155466666666667,noise,10.116666666667,95.500000000000,2.166666666667,8.700000000000,92.000000000000,0E-12,11.600000000000,97.000000000000,4.000000000000
Peace_Whitemud3_filteredb,20190713,20191805__20190713_235701.00#.zc,85,0.738917647058824,noise,0.159811764705882,LACI,0.0333176470588235,EPFU,10.116666666667,95.500000000000,2.166666666667,8.700000000000,92.000000000000,0E-12,11.600000000000,97.000000000000,4.000000000000
Peace_Whitemud3_filteredb,20190713,20191805__20190714_034543.00#.zc,44,0.202181818181818,LABO,0.173272727272727,MYLU,0.151181818181818,MYVO,10.116666666667,95.500000000000,2.166666666667,8.700000000000,92.000000000000,0E-12,11.600000000000,97.000000000000,4.000000000000
Peace_Whitemud3_filteredb,20190713,20191805__20190713_231619.00#.zc,12,0.487,noise,0.138666666666667,LACI,0.104,MYLU,10.116666666667,95.500000000000,2.166666666667,8.700000000000,92.000000000000,0E-12,11.600000000000,97.000000000000,4.000000000000
Peace_Whitemud3_filteredb,20190713,20191805__20190714_034534.00#.zc,1,0.49,EPFU,0.234,LANO,0.19,LACI,10.116666666667,95.500000000000,2.166666666667,8.700000000000,92.000000000000,0E-12,11.600000000000,97.000000000000,4.000000000000
Peace_Whitemud3_filteredb,20190713,20191805__20190713_232926.00#.zc,70,0.209971428571429,MYLU,0.207628571428571,noise,0.129114285714286,MYVO,10.116666666667,95.500000000000,2.166666666667,8.700000000000,92.000000000000,0E-12,11.600000000000,97.000000000000,4.000000000000
Peace_Whitemud3_filteredb,20190713,20191805__20190714_030843.00#.zc,1,0.424,LACI,0.372,EPFU,0.118,LANO,10.116666666667,95.500000000000,2.166666666667,8.700000000000,92.000000000000,0E-12,11.600000000000,97.000000000000,4.000000000000
Peace_Whitemud3_filteredb,20190713,20191805__20190714_034741.00#.zc,53,0.248301886792453,LABO,0.187471698113208,MYLU,0.138830188679245,MYVO,10.116666666667,95.500000000000,2.166666666667,8.700000000000,92.000000000000,0E-12,11.600000000000,97.000000000000,4.000000000000
Peace_Whitemud3_filteredb,20190713,20191805__20190714_041012.00#.zc,13,0.487846153846154,EPFU,0.218769230769231,LANO,0.185230769230769,LACI,10.116666666667,95.500000000000,2.166666666667,8.700000000000,92.000000000000,0E-12,11.600000000000,97.000000000000,4.000000000000
Peace_Whitemud3_filteredb,20190713,20191805__20190714_012155.00#.zc,1,0.39,noise,0.246,LACI,0.244,EPFU,10.116666666667,95.500000000000,2.166666666667,8.700000000000,92.000000000000,0E-12,11.600000000000,97.000000000000,4.000000000000
Peace_Whitemud3_filteredb,20190713,20191805__20190714_023429.00#.zc,26,0.258615384615385,LABO,0.226307692307692,MYLU,0.157846153846154,MYVO,10.116666666667,95.500000000000,2.166666666667,8.700000000000,92.000000000000,0E-12,11.600000000000,97.000000000000,4.000000000000
Peace_Whitemud3_filteredb,20190713,20191805__20190714_022618.00#.zc,2,0.425,LACI,0.316,EPFU,0.197,noise,10.116666666667,95.500000000000,2.166666666667,8.700000000000,92.000000000000,0E-12,11.600000000000,97.000000000000,4.000000000000
Peace_Whitemud3_filteredb,20190713,20191805__20190713_232155.00#.zc,12,0.177666666666667,LABO,0.176666666666667,MYLU,0.1625,noise,10.116666666667,95.500000000000,2.166666666667,8.700000000000,92.000000000000,0E-12,11.600000000000,97.000000000000,4.000000000000
Peace_Whitemud3_filteredb,20190713,20191805__20190714_013027.00#.zc,1,0.356,LANO,0.35,EPFU,0.156,LACI,10.116666666667,95.500000000000,2.166666666667,8.700000000000,92.000000000000,0E-12,11.600000000000,97.000000000000,4.000000000000
Peace_Whitemud3_filteredb,20190713,20191805__20190714_013029.00#.zc,1,0.354,EPFU,0.326,LANO,0.238,LACI,10.116666666667,95.500000000000,2.166666666667,8.700000000000,92.000000000000,0E-12,11.600000000000,97.000000000000,4.000000000000
